"Source Name",URL,Title,"Date Created","Program Name",Domain,"Data Source"
"Customize Links.url","http://www.microsoft.com/isapi/redir.dll?prd=ie&pver=6&ar=CLinks","Customize Links.url","2013-04-18 17:22:19 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
"Free Hotmail.url","http://www.microsoft.com/isapi/redir.dll?prd=ie&ar=hotmail","Free Hotmail.url","2013-04-18 17:22:19 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
"Windows Marketplace.url","http://go.microsoft.com/fwlink/?LinkId=30857&clcid=0x409","Windows Marketplace.url","2013-04-18 17:22:18 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
"Windows Media.url","http://www.microsoft.com/isapi/redir.dll?prd=ie&ar=windowsmedia","Windows Media.url","2013-04-18 17:22:19 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
Windows.url,"http://www.microsoft.com/isapi/redir.dll?prd=ie&ar=windows",Windows.url,"2013-04-18 17:22:19 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
MSN.com.url,"http://www.microsoft.com/isapi/redir.dll?prd=ie&pver=6&ar=IStart",MSN.com.url,"2013-04-18 17:22:19 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
"Radio Station Guide.url","http://www.microsoft.com/isapi/redir.dll?prd=windows&sbp=mediaplayer&plcid=&pver=6.1&os=&over=&olcid=&clcid=&ar=Media&sba=RadioBar&o1=&o2=&o3=","Radio Station Guide.url","2013-04-18 17:22:19 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
"Customize Links.url","http://www.microsoft.com/isapi/redir.dll?prd=ie&pver=6&ar=CLinks","Customize Links.url","2013-04-18 17:21:38 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
"Free Hotmail.url","http://www.microsoft.com/isapi/redir.dll?prd=ie&ar=hotmail","Free Hotmail.url","2013-04-18 17:21:38 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
"Windows Marketplace.url","http://go.microsoft.com/fwlink/?LinkId=30857&clcid=0x409","Windows Marketplace.url","2013-04-18 17:21:36 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
"Windows Media.url","http://www.microsoft.com/isapi/redir.dll?prd=ie&ar=windowsmedia","Windows Media.url","2013-04-18 17:21:38 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
Windows.url,"http://www.microsoft.com/isapi/redir.dll?prd=ie&ar=windows",Windows.url,"2013-04-18 17:21:38 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
MSN.com.url,"http://www.microsoft.com/isapi/redir.dll?prd=ie&pver=6&ar=IStart",MSN.com.url,"2013-04-18 17:21:38 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
"Radio Station Guide.url","http://www.microsoft.com/isapi/redir.dll?prd=windows&sbp=mediaplayer&plcid=&pver=6.1&os=&over=&olcid=&clcid=&ar=Media&sba=RadioBar&o1=&o2=&o3=","Radio Station Guide.url","2013-04-18 17:21:38 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
"CADCA  Building drug-free communities..url",http://www.cadca.org/,"CADCA  Building drug-free communities..url","2013-04-23 04:01:29 CEST","Internet Explorer Analyzer",cadca.org,AFI_W.E01
"Controlled drugs licences, fees and returns - Detailed guidance - GOV.UK.url","https://www.gov.uk/controlled-drugs-licences-fees-and-returns","Controlled drugs licences, fees and returns - Detailed guidance - GOV.UK.url","2013-04-23 04:01:09 CEST","Internet Explorer Analyzer",www.gov.uk,AFI_W.E01
"EMCDDA  Building a national drugs observatory a joint handbook.url","http://www.emcdda.europa.eu/publications/joint/ndo-handbook","EMCDDA  Building a national drugs observatory a joint handbook.url","2013-04-23 04:01:50 CEST","Internet Explorer Analyzer",europa.eu,AFI_W.E01
"Customize Links.url","http://www.microsoft.com/isapi/redir.dll?prd=ie&pver=6&ar=CLinks","Customize Links.url","2013-04-18 17:19:00 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
"Free Hotmail.url","http://www.microsoft.com/isapi/redir.dll?prd=ie&ar=hotmail","Free Hotmail.url","2013-04-18 17:19:00 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
"Windows Marketplace.url","http://go.microsoft.com/fwlink/?LinkId=30857&clcid=0x409","Windows Marketplace.url","2013-04-18 17:18:55 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
"Windows Media.url","http://www.microsoft.com/isapi/redir.dll?prd=ie&ar=windowsmedia","Windows Media.url","2013-04-18 17:19:00 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
Windows.url,"http://www.microsoft.com/isapi/redir.dll?prd=ie&ar=windows",Windows.url,"2013-04-18 17:19:00 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
MSN.com.url,"http://www.microsoft.com/isapi/redir.dll?prd=ie&pver=6&ar=IStart",MSN.com.url,"2013-04-18 17:19:00 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
"Radio Station Guide.url","http://www.microsoft.com/isapi/redir.dll?prd=windows&sbp=mediaplayer&plcid=&pver=6.1&os=&over=&olcid=&clcid=&ar=Media&sba=RadioBar&o1=&o2=&o3=","Radio Station Guide.url","2013-04-18 17:19:00 CEST","Internet Explorer Analyzer",microsoft.com,AFI_W.E01
